100
1,2,849.33
2,4,1617.04
3,6,475.35
4,5,1559.64
5,4,1152.54
6,3,1294.85
7,3,1075.46
8,6,1840.77
9,1,1462.86
10,5,1253.24
11,6,561.48
12,4,1627.94
13,3,861.79
14,3,306.74
15,2,514.69
16,6,1694.31
17,1,662.46
18,6,1096.15
19,2,1948.27
20,2,1565.58
21,4,1562.84
22,4,1793.91
23,3,769.67
24,3,1846.15
25,6,1903.72
26,6,263.51
27,2,1360.13
28,3,762.90
29,3,138.04
30,5,219.88
31,4,1944.20
32,3,1716.75
33,3,1125.54
34,5,1544.47
35,2,1368.68
36,1,174.63
37,1,1870.49
38,3,1469.81
39,3,1503.22
40,4,772.69
41,2,415.35
42,1,1772.14
43,3,727.64
44,4,1797.41
45,3,1404.67
46,1,1218.42
47,3,1731.48
48,2,1855.54
49,5,1648.06
50,1,1830.85
51,4,510.07
52,3,1848.24
53,6,1774.02
54,6,920.71
55,4,634.01
56,5,684.17
57,2,529.60
58,3,624.85
59,4,891.35
60,5,1822.93
61,5,339.54
62,4,1544.90
63,4,1876.51
64,4,828.06
65,4,800.46
66,4,541.30
67,6,564.38
68,1,1491.08
69,5,1607.59
70,6,1515.64
71,5,1905.20
72,3,1090.97
73,4,556.12
74,1,1492.04
75,5,1938.07
76,5,1543.50
77,1,356.31
78,3,248.64
79,3,488.84
80,2,1657.39
81,6,1535.60
82,3,399.83
83,2,488.22
84,2,338.39
85,3,202.71
86,1,237.42
87,6,1853.83
88,4,442.71
89,6,844.21
90,4,1657.42
91,5,1149.72
92,6,959.89
93,6,289.32
94,1,1538.86
95,3,1985.23
96,6,1767.47
97,4,1294.93
98,3,1520.83
99,4,1858.22
100,1,1678.97
